orth,ipa,devanagari,note,sample_count
uwanu,uwanu,उवअनउ,per-letter fallback,1
Dhikki,d̪ʱikki,धइककइ,cluster+fallback,1
Dhin,d̪ʱin,धइन,cluster+fallback,1
dhingi,d̪ʱiŋi,धइङइ,cluster+fallback,1
dhingiy,d̪ʱiŋij,धइङइय,cluster+fallback,1
Dhira,d̪ʱira,धइरअ,cluster+fallback,1
Dhir,d̪ʱir,धइर,cluster+fallback,1
Dhiy,d̪ʱij,धइय,cluster+fallback,1
Dhuni,d̪ʱuni,धउनइ,cluster+fallback,1
wawnu,wawnu,वअवनउ,per-letter fallback,1
Dhragul,d̪ʱraɡul,धरअगउल,cluster+fallback,1
Dhrari,d̪ʱrari,धरअरइ,cluster+fallback,1
Dhul,d̪ʱul,धउल,cluster+fallback,1
Dhunawnu,d̪ʱunawnu,धउनअवनउ,cluster+fallback,1
Dhuri,d̪ʱuri,धउरइ,cluster+fallback,1
r dhuru,r d̪ʱuru,रधउरउ,cluster+fallback,1
Dhuwa,d̪ʱuwa,धउवअ,cluster+fallback,1
Dhuwan,d̪ʱuwan,धउवअन,cluster+fallback,1
Dhwala,d̪ʱwala,धवअलअ,cluster+fallback,1
Dhwali,d̪ʱwali,धवअलइ,cluster+fallback,1
Dhyar,d̪ʱjar,धयअर,cluster+fallback,1
Dhyawi,d̪ʱjawi,धयअवइ,cluster+fallback,1
Dhyara,d̪ʱjara,धयअरअ,cluster+fallback,1
Dhyari,d̪ʱjari,धयअरइ,cluster+fallback,1
dhyari,d̪ʱjari,धयअरइ,cluster+fallback,1
Diali,diali,दइअलइ,per-letter fallback,1
Dihnu,dihnu,दइहनउ,per-letter fallback,1
Dik,dik,दइक,per-letter fallback,1
Diku,diku,दइकउ,per-letter fallback,1
Dil,dil,दइल,per-letter fallback,1
Dilri,dilri,दइलरइ,per-letter fallback,1
Ding,diŋ,दइङ,cluster+fallback,1
Dinwan,dinwan,दइनवअन,per-letter fallback,1
Dinw,dinw,दइनव,per-letter fallback,1
win,win,वइन,per-letter fallback,1
Dita,dita,दइतअ,per-letter fallback,1
Diun,diun,दइउन,per-letter fallback,1
Diuti,diuti,दइउतइ,per-letter fallback,1
Diut,diut,दइउत,per-letter fallback,1
Diwh,diwh,दइवह,per-letter fallback,1
Diwa,diwa,दइवअ,per-letter fallback,1
Diwan,diwan,दइवअन,per-letter fallback,1
Diwi,diwi,दइवइ,per-letter fallback,1
Diwt,diwt,दइवत,per-letter fallback,1
Dlanga,dlaŋa,दलअङअ,cluster+fallback,1
Dli,dli,दलइ,per-letter fallback,1
Dlu,dlu,दलउ,per-letter fallback,1
Dnau,dnau,दनअउ,per-letter fallback,1
urni,urni,उरनइ,per-letter fallback,1
'tu,'tu,तउ,per-letter fallback,1
Drani,drani,दरअनइ,per-letter fallback,1
Dra't,dra't,दरअत,per-letter fallback,1
Drati,drati,दरअतइ,per-letter fallback,1
Duhna,duhna,दउहनअ,per-letter fallback,1
Dukh,dukʰ,दउख,cluster+fallback,1
Dukhawnu,dukʰawnu,दउखअवनउ,cluster+fallback,1
Dukhi,dukʰi,दउखइ,cluster+fallback,1
r dukhiya,r dukʰija,रदउखइयअ,cluster+fallback,1
Dukhna,dukʰna,दउखनअ,cluster+fallback,1
Dukhnu,dukʰnu,दउखनउ,cluster+fallback,1
Dul,dul,दउल,per-letter fallback,1
Dund,dund,दउनद,per-letter fallback,1
Dungu,duŋu,दउङउ,cluster+fallback,1
Dunk,dunk,दउनक,per-letter fallback,1
Dunku,dunku,दउनकउ,per-letter fallback,1
'hr,'hr,हर,per-letter fallback,1
Durh,durh,दउरह,per-letter fallback,1
Durk,durk,दउरक,per-letter fallback,1
Durr,durr,दउरर,per-letter fallback,1
illa,illa,इललअ,per-letter fallback,1
Duwalnu,duwalnu,दउवअलनउ,per-letter fallback,1
Dwad,dwad,दवअद,per-letter fallback,1
Dwanni,dwanni,दवअननइ,per-letter fallback,1
Dwa't,dwa't,दवअत,per-letter fallback,1
Dyala,djala,दयअलअ,per-letter fallback,1
Dyali,djali,दयअलइ,per-letter fallback,1
Dyanu,djanu,दयअनउ,per-letter fallback,1
Dyaw,djaw,दयअव,per-letter fallback,1
dyaw,djaw,दयअव,per-letter fallback,1
Dyar,djar,दयअर,per-letter fallback,1
Dyuwli,djuwli,दयउवलइ,per-letter fallback,1
addi,addi,अददइ,per-letter fallback,1
adi,adi,अदइ,per-letter fallback,1
agg,aɡɡ,अगग,per-letter fallback,1
iwta,iwta,इवतअ,per-letter fallback,1
na'r,na'r,नअर,per-letter fallback,1
andki,andki,अनदकइ,per-letter fallback,1
andnu,andnu,अनदनउ,per-letter fallback,1
rah,rah,रअह,per-letter fallback,1
yan,jan,यअन,per-letter fallback,1
rdu,rdu,रदउ,per-letter fallback,1
rkawnu,rkawnu,रकअवनउ,per-letter fallback,1
rkuw,rkuw,रकउव,per-letter fallback,1
rnai,rnai,रनअइ,per-letter fallback,1
rrata,rrata,ररअतअ,per-letter fallback,1
rru,rru,ररउ,per-letter fallback,1
athnu,at̪ʰnu,अथनउ,cluster+fallback,1
atu,atu,अतउ,per-letter fallback,1
trala,trala,तरअलअ,per-letter fallback,1
awra,awra,अवरअ,per-letter fallback,1
gra,ɡra,गरअ,per-letter fallback,1
wtu,wtu,वतउ,per-letter fallback,1
irawnu,irawnu,इरअवनउ,per-letter fallback,1
irk,irk,इरक,per-letter fallback,1
irknu,irknu,इरकनउ,per-letter fallback,1
irwan,irwan,इरवअन,per-letter fallback,1
alnu,alnu,अलनउ,per-letter fallback,1
u't,u't,उत,per-letter fallback,1
unkawnu,unkawnu,उनकअवनउ,per-letter fallback,1
unkawla,unkawla,उनकअवलअ,per-letter fallback,1
unknu,unknu,उनकनउ,per-letter fallback,1
unkri,unkri,उनकरइ,per-letter fallback,1
ulawnu,ulawnu,उलअवनउ,per-letter fallback,1
ulnu,ulnu,उलनउ,per-letter fallback,1
ulru,ulru,उलरउ,per-letter fallback,1
unwa,unwa,उनवअ,per-letter fallback,1
utawnu,utawnu,उतअवनउ,per-letter fallback,1
hyawnu,hjawnu,हयअवनउ,per-letter fallback,1
hiy,hij,हइय,per-letter fallback,1
Gada,ɡada,गअदअ,per-letter fallback,1
dawnu,dawnu,दअवनउ,per-letter fallback,1
ddi,ddi,ददइ,per-letter fallback,1
dhainu,d̪ʱainu,धअइनउ,cluster+fallback,1
Gadri,ɡadri,गअदरइ,per-letter fallback,1
Gag,ɡaɡ,गअग,per-letter fallback,1
r gagri,r ɡaɡri,रगअगरइ,per-letter fallback,1
r ga'n,r ɡa'n,रगअन,per-letter fallback,1
Gahlu,ɡahlu,गअहलउ,per-letter fallback,1
Ga'k,ɡa'k,गअक,per-letter fallback,1
Ga'l,ɡa'l,गअल,per-letter fallback,1
Galawnu,ɡalawnu,गअलअवनउ,per-letter fallback,1
Gali,ɡali,गअलइ,per-letter fallback,1
Galnu,ɡalnu,गअलनउ,per-letter fallback,1
Galu,ɡalu,गअलउ,per-letter fallback,1
Gand,ɡand,गअनद,per-letter fallback,1
Gandh,ɡand̪ʱ,गअनध,cluster+fallback,1
Gandhi,ɡand̪ʱi,गअनधइ,cluster+fallback,1
Gan,ɡan,गअन,per-letter fallback,1
Ganga,ɡaŋa,गअङअ,cluster+fallback,1
nna,nna,ननअ,per-letter fallback,1
Ganth,ɡant̪ʰ,गअनथ,cluster+fallback,1
Ganthawnu,ɡant̪ʰawnu,गअनथअवनउ,cluster+fallback,1
Ganthnu,ɡant̪ʰnu,गअनथनउ,cluster+fallback,1
Ganthi,ɡant̪ʰi,गअनथइ,cluster+fallback,1
Ganu,ɡanu,गअनउ,per-letter fallback,1
Ga'nu,ɡa'nu,गअनउ,per-letter fallback,1
unka,unka,उनकअ,per-letter fallback,1
Ganw,ɡanw,गअनव,per-letter fallback,1
nwra,nwra,नवरअ,per-letter fallback,1
Ganwun,ɡanwun,गअनवउन,per-letter fallback,1
Ganwra,ɡanwra,गअनवरअ,per-letter fallback,1
nra,nra,नरअ,per-letter fallback,1
Gara,ɡara,गअरअ,per-letter fallback,1
rinu,rinu,रइनउ,per-letter fallback,1
Gartha,ɡart̪ʰa,गअरथअ,cluster+fallback,1
Gar,ɡar,गअर,per-letter fallback,1
taka,taka,तअकअ,per-letter fallback,1
tti,tti,ततइ,per-letter fallback,1
Gaun,ɡaun,गअउन,per-letter fallback,1
unt,unt,उनत,per-letter fallback,1
Gaw,ɡaw,गअव,per-letter fallback,1
lra,lra,लरअ,per-letter fallback,1
tra,tra,तरअ,per-letter fallback,1
unwan,unwan,उनवअन,per-letter fallback,1
